Date,Zip,HomeIndex
6/30/2014,85705,99812
7/31/2014,85705,100506
8/31/2014,85705,101575
9/30/2014,85705,102374
10/31/2014,85705,102613
11/30/2014,85705,102970
12/31/2014,85705,102860
1/31/2015,85705,102960
2/28/2015,85705,102895
3/31/2015,85705,103896
4/30/2015,85705,104794
5/31/2015,85705,105791
6/30/2015,85705,106201
7/31/2015,85705,106041
8/31/2015,85705,105569
9/30/2015,85705,105597
10/31/2015,85705,106176
11/30/2015,85705,106679
12/31/2015,85705,107108
1/31/2016,85705,107619
2/29/2016,85705,108516
3/31/2016,85705,109089
4/30/2016,85705,109803
5/31/2016,85705,110460
6/30/2016,85705,110805
7/31/2016,85705,111940
8/31/2016,85705,112743
9/30/2016,85705,113549
10/31/2016,85705,114011
11/30/2016,85705,114815
12/31/2016,85705,115637
1/31/2017,85705,116180
2/28/2017,85705,116667
3/31/2017,85705,117964
4/30/2017,85705,118598
5/31/2017,85705,119377
6/30/2017,85705,120390
7/31/2017,85705,122242
8/31/2017,85705,124722
9/30/2017,85705,126622
10/31/2017,85705,128143
11/30/2017,85705,129300
12/31/2017,85705,130622
1/31/2018,85705,131885
2/28/2018,85705,133019
3/31/2018,85705,133894
4/30/2018,85705,134783
5/31/2018,85705,135611
6/30/2018,85705,136271
7/31/2018,85705,136855
8/31/2018,85705,137001
9/30/2018,85705,137714
10/31/2018,85705,138503
11/30/2018,85705,139601
12/31/2018,85705,139901
1/31/2019,85705,140429
2/28/2019,85705,141376
3/31/2019,85705,141923
4/30/2019,85705,143518
5/31/2019,85705,144661
6/30/2019,85705,146394
7/31/2019,85705,147093
8/31/2019,85705,148214
9/30/2019,85705,149556
10/31/2019,85705,150821
11/30/2019,85705,152321
12/31/2019,85705,154369
1/31/2020,85705,155508
2/29/2020,85705,156364
3/31/2020,85705,157075
4/30/2020,85705,159390
5/31/2020,85705,160426
6/30/2020,85705,161637
7/31/2020,85705,162313
8/31/2020,85705,164188
9/30/2020,85705,165767
10/31/2020,85705,168256
11/30/2020,85705,174124
12/31/2020,85705,180713
1/31/2021,85705,187163
2/28/2021,85705,190401
3/31/2021,85705,193057
4/30/2021,85705,195274
